PROPERTY_NUM,PROPERTY_NAME,ADDRESS,CITY,STATE,ZIP,LATITUDE,LONGITUDE
PS #00504,Belmont/DairyLane(Cmbd w/29120,1 Dairy Lane,Belmont,,94002-4038,37.52435000000001,-122.2686
PS #00513,San Jose/965 Felipe(Cmbdw20144,965 Felipe Ave,San Jose,,95122-2685,37.33696,-121.8515
PS #08043,Lakewood/Kipling(Combd w/29103,10270 W Hampden Ave,Lakewood,,80227-4320,39.65318000000001,-105.1117
PS #08070,College Park/W86th(Cmbdw/07039,4225 W 86th Street,Indianapolis,,46268-1786,39.91099999999999,-86.233
PS #08083,Clinton (Cmbd w/ 07118),7925 Branch Ave,Clinton,,20735-1626,38.78100000000003,-76.893
PS #08084,OwingsMills/Reistrtwn(Cmb27111,9720 Reisterstown Road,Owings Mills,,21117-4120,39.40617,-76.76195
PS #08086,23014 Madison Hts(Cmbd w/26814,555 E 12 Mile Road,Madison Heights,,48071-2555,42.50900000000003,-83.10599999999999
PS #08096,23032 Troy(Satellite of 23606),2821 Industrial Row Drive,Troy,,48084-7041,42.53999999999999,-83.18300000000001
PS #08183,W Olympia/BlackLk II(Cmbd27021,1620 Black Lake Blvd SW,Olympia,,98502-5627,47.03399999999998,-122.939
PS #08213,Littleton/Windermr I(Cmb-21720,4951 S Windermere St,Littleton,,80120-1021,39.62585000000003,-105.0069
PS #08361,Pinole/Appian 2 (Cmbd w/ 26818,2650 Appian Way,Pinole,,94564-2203,37.98771000000001,-122.2997
PS #08408,Park Cities East(Cmbd w/21701),5340 E Mockingbird Lane,Dallas,,75206-5108,32.83600000000001,-96.77699999999999
PS #08426,44075 SouthMain-TX(Cmbdw/23704,10200 S Main St,Houston,,77025-5212,29.67526000000001,-95.43062999999999
PS #08449,Medical/Braeswood(Cmbd w/25529,7703 S Main Street,Houston,,77030-4405,29.69699999999999,-95.41200000000001
PS #08544,Amity Court(wsAnnx(Cmbdw/08559,3150 Amity Court,Charlotte,,28215-5737,35.22987000000002,-80.73889
PS #08565,Matthews (wasAnnx(Cmbd w/08556,10833 Monroe Rd,Matthews,,28105-8398,35.12769,-80.73149000000001
PS #20162,Gaithersburg/Diamnd(Cmbd>25860,500 E Diamond Ave,Gaithersburg,,20877-3074,39.14149999999999,-77.18507
PS #20286,Roswell/Alpharetta(Cmbdw/08047,10468 Alpharetta St,Roswell,,30075-3747,34.03499999999999,-84.345
PS #21413,Columbia/BroadRvr-B(Cmbd>24205,3415 Broad River Road,Columbia,,29210-5428,34.05439999999999,-81.1099
PS #21508,Whittier/Whittier&Pen(Cmb25757,12235 Whittier Blvd,Whittier,,90602-1014,33.97592000000002,-118.0464
PS #22301,CostaMesa/Placntia(Cmbdw/00101,2065 Placentia Ave,Costa Mesa,,92627-3405,33.64935,-117.932
PS #22317,Newark/Fircrest (Cmbd w/ 22329,6800 Overlake Place,Newark,,94560,37.54432000000001,-122.0547
PS #22321,San Mateo/Delaware(Cmbd 07035),2250 S Delaware Street,San Mateo,,94403-1901,37.54775999999999,-122.3052
PS #22322,Berkeley/ 2nd St(Cmbd w/23086),1120 2nd Street,Berkeley,,94710-1004,37.88112000000002,-122.3067
PS #22342,RowlandHgts/Nogals(Cmbdw/20130,19102 E Walnut Drive N,Rowland Heights,,91748-1428,33.99568999999998,-117.8859
PS #23020,Goleta/HollisterAv(Cmbdw/25714,7288 Hollister Ave,Goleta,,93117-2807,34.43018000000001,-119.8802
PS #24443,Milpitas/MontagueIII(Cmb/20436,1080 Pecten Court,Milpitas,,95035-6804,37.41214,-121.8828
PS #25450,Norfolk/Widgeon I(Cmbdw/25713),880 Widgeon Road,Norfolk,,23513-3099,36.90268000000002,-76.25578000000002
PS #25511,Seven Corners/Arlngtn(Com29188,6319 Arlington Blvd,Seven Corners,,22044,38.87204000000001,-77.15763
PS #25644,Mesquite/USHwy80(Cmbd w/ 20131,4111 US Highway 80,Mesquite,,75150-6615,32.79578000000001,-96.66172000000002
PS #25920,Hilton Head/Arrow(Cmbd w/28040,90 Arrow Rd,Hilton Head Island,,29928-7312,32.16240999999998,-80.76571999999999
PS #26423,Des Moines (Cmbd w/ 08164),18023 Des Moines Memorial Dr,Burien,,98148-1949,47.441,-122.326
PS #26581,San Jose/Lenfst&Mabry(Cmb29262,691 Lenfest Rd,San Jose,,95133-1616,37.36452999999998,-121.8711
PS #26671,Gallatin/Hancock(Cmbd w/26531),287 Hancock St,Gallatin,,37066-3678,41.16642,-81.86297999999999
PS #26674,Amelia/Ohio Pike(Cmbd w/26588),1166 W Ohio Pike,Amelia,,45102-1258,39.05086999999999,-84.25082999999999
PS #26809,CarolStream/StCharls(Cmbd28411,440 E Saint Charles Rd,Carol Stream,,60188-2116,41.89715999999999,-88.10632
PS #26930,Olathe/S Mahaffie (Cmbd 27587),15310 S Mahaffie St,Olathe,,66062,38.85109000000001,-94.80544000000002
PS #26947,Lakeville/HeronWy(Cmbd w/26663,8252 210th St W,Lakeville,,55044-4805,44.64488000000001,-93.23257
PS #26949,Inver Grove/S Robert(Cmbd27415,9735 S Robert Trail,Inver Grove Heights,,55077-4407,44.80906,-93.10483000000001
PS #26959,Pasadena/EBeltwy8S II(Cmb20739,1503 East Beltway 8 S,Pasadena,,77503-3401,29.68581000000002,-95.15302999999999
PS #27606,Fort Worth/Riverside(Annx27609,10933 N Riverside Dr,Fort Worth,,76244,32.93556000000003,-97.30716999999999
PS #27624,Fort Worth/Precinct (Annx27608,2929 S Precinct Line Rd,Fort Worth,,76118,32.80115,-97.18343
PS #27635,Fort Worth/Granbury(Annx27618,7000 Granbury Rd,Fort Worth,,76133-5911,32.64603,-97.41146000000001
PS #28045,Charleston/AshleyRvr(Cmbd08568,2373 Ashley River Road,Charleston,,29414-4755,32.82400000000001,-80.03800000000001
PS #28133,Martinez/RiverWatch(Cmbd26950),3503 River Watch Pkwy,Martinez,,30907-3681,33.51790999999999,-82.07362000000001
PS #29241,San Jose/N King&Mabry(Cmb29262,675 N King Rd,San Jose,,95133-1704,37.36525999999999,-121.869
PS #29275,Bothell/8820NE Bothel(Cmb29164,8820 NE Bothell Way,Bothell,,98011-3627,47.75297999999999,-122.2231
PS #29312,Magnolia/FM 2978 Rd(Cmbd w/ 22,29135 FM 2978 Rd,Magnolia,,77354-3090,30.17974000000002,-95.60056
